time	V(compout)
3.022876042018452e-06	1.417102e-01
3.023876042018452e-06	1.417105e-01
3.024876042018452e-06	1.417108e-01
3.025876042018452e-06	1.417112e-01
3.026876042018453e-06	1.417115e-01
3.027876042018453e-06	1.417117e-01
3.028876042018453e-06	1.417120e-01
3.030876042018453e-06	1.417125e-01
3.032876042018453e-06	1.417128e-01
3.034876042018453e-06	1.417131e-01
3.036876042018453e-06	1.417132e-01
3.038876042018453e-06	1.417133e-01
3.040876042018454e-06	1.417133e-01
3.042876042018454e-06	1.417133e-01
3.045876042018454e-06	1.417131e-01
3.047447470589883e-06	1.417131e-01
3.049018899161311e-06	1.417130e-01
3.050590327732740e-06	1.417129e-01
3.052161756304169e-06	1.417129e-01
3.053733184875597e-06	1.417128e-01
3.055304613447026e-06	1.417128e-01
3.056876042018455e-06	1.417127e-01
3.059447470589883e-06	1.417127e-01
3.062018899161312e-06	1.417126e-01
3.064590327732741e-06	1.417126e-01
3.067161756304170e-06	1.417126e-01
3.069733184875598e-06	1.417126e-01
3.072304613447027e-06	1.417126e-01
3.074876042018456e-06	1.417126e-01
3.077161756304171e-06	1.417126e-01
3.079447470589885e-06	1.417126e-01
3.081733184875599e-06	1.417126e-01
3.084018899161314e-06	1.417126e-01
3.086304613447029e-06	1.417126e-01
3.088590327732743e-06	1.417126e-01
3.090876042018457e-06	1.417126e-01
3.093876042018458e-06	1.417126e-01
3.095876042018458e-06	1.417126e-01
3.097876042018458e-06	1.417126e-01
3.099876042018458e-06	1.417126e-01
3.101876042018458e-06	1.417126e-01
3.102876042018458e-06	1.417126e-01
3.103876042018458e-06	1.417126e-01
3.104876042018458e-06	1.417126e-01
3.105876042018458e-06	1.417126e-01
3.106876042018459e-06	1.417126e-01
3.107876042018459e-06	1.417126e-01
3.109876042018459e-06	1.417126e-01
3.111876042018459e-06	1.417126e-01
3.112876042018459e-06	1.417126e-01
3.113876042018459e-06	1.417126e-01
3.114876042018459e-06	1.417126e-01
3.115876042018459e-06	1.417126e-01
3.116876042018459e-06	1.417126e-01
3.117876042018459e-06	1.417126e-01
3.118876042018459e-06	1.417126e-01
3.119876042018459e-06	1.417126e-01
3.120876042018460e-06	1.417126e-01
3.121876042018460e-06	1.417126e-01
3.122876042018460e-06	1.417126e-01
3.124876042018460e-06	1.417126e-01
3.126876042018460e-06	1.417126e-01
3.128876042018460e-06	1.417126e-01
3.131876042018460e-06	1.417126e-01
3.134876042018461e-06	1.417126e-01
3.137876042018461e-06	1.417126e-01
3.140876042018461e-06	1.417126e-01
3.142733184875604e-06	1.417126e-01
3.144590327732747e-06	1.417126e-01
3.146447470589890e-06	1.417126e-01
3.148304613447033e-06	1.417126e-01
